loan_status,grade,sub_grade,verification_status,purpose,term,initial_list_status,emp_length,home_ownership,application_type,loan_amnt,annual_inc,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,mort_acc,pub_rec_bankruptcies,issue_d,earliest_cr_line,installment,int_rate,fico_range_low,fico_range_high,last_pymnt_amnt,last_pymnt_d,total_rec_int,addr_state,zip_code
Fully Paid,E,E1,Source Verified,house,60 months,f,9 years,ANY,INDIVIDUAL,34530.00,225737.48,0.2133,0,3,8,1,8478.35,50.8031,28,4,0,Sep-2018,Dec-1998,730.45,14.9578,790,794,768.09,Jun-2019,778.82,FL,733xx
Fully Paid,F,F5,Verified,home_improvement,60 months,f,6 years,MORTGAGE,JOINT,34794.00,50311.01,0.3275,1,0,17,0,7975.22,37.4749,35,3,0,Oct-2018,Jan-1995,777.22,18.9032,596,600,777.77,Aug-2019,1616.64,NY,802xx
Fully Paid,F,F2,Source Verified,debt_consolidation,36 months,f,3 years,RENT,JOINT,30568.00,25594.64,0.2632,0,1,1,1,17767.57,40.5491,11,7,0,Jul-2019,Jun-1989,1009.75,21.0200,800,804,996.91,Oct-2020,3271.51,TX,503xx
Current,B,B2,Source Verified,house,36 months,f,< 1 year,ANY,INDIVIDUAL,9024.00,107871.68,0.1191,0,1,13,0,20969.56,8.3555,29,5,0,Nov-2014,Jun-1985,272.33,9.6013,751,755,299.02,May-2015,98.38,CA,358xx
Current,B,B2,Not Verified,vacation,60 months,w,6 years,OWN,JOINT,9974.00,142256.26,0.1550,1,0,9,0,26754.06,44.6358,13,3,0,Oct-2014,Dec-1987,245.46,26.4768,756,760,235.41,Jan-2016,1138.30,AZ,753xx
Fully Paid,B,B2,Not Verified,car,36 months,w,2 years,ANY,INDIVIDUAL,11362.00,202789.55,0.1881,1,2,18,0,22109.61,56.3523,39,3,1,Jun-2016,Jan-1997,370.23,19.2286,710,714,389.44,Jan-2017,1078.58,CA,385xx
Fully Paid,D,D2,Verified,medical,36 months,f,5 years,OWN,INDIVIDUAL,37328.00,220562.94,0.1872,1,3,1,0,27208.96,47.4048,10,6,0,Jun-2020,Jan-2013,1233.83,21.1038,828,832,1226.76,Feb-2021,1565.32,FL,186xx
Current,B,B3,Not Verified,car,60 months,f,10+ years,ANY,INDIVIDUAL,5362.00,144233.95,0.1136,1,5,5,1,23286.08,18.5136,10,0,0,Sep-2020,Dec-2007,103.22,8.6095,754,758,62.48,Jul-2021,59.94,NJ,826xx
Current,B,B1,Verified,wedding,36 months,f,8 years,RENT,JOINT,15495.00,98324.53,0.1859,1,4,1,0,2278.27,54.7959,13,7,0,Sep-2017,Aug-2012,510.47,20.6653,681,685,526.44,Sep-2017,888.07,CA,935xx
Fully Paid,B,B2,Not Verified,small_business,60 months,f,< 1 year,RENT,JOINT,27718.00,95569.64,0.3954,1,1,14,1,37827.65,24.5716,16,6,0,Sep-2014,Mar-2008,685.37,26.8662,794,798,701.16,Dec-2015,2241.89,NJ,315xx
Current,B,B3,Verified,house,60 months,f,10+ years,RENT,INDIVIDUAL,20933.00,127946.23,0.2932,1,4,20,0,25979.11,44.5341,44,4,0,May-2017,Jun-1998,501.64,24.3241,583,587,510.32,Jan-2018,1223.70,GA,884xx
Fully Paid,A,A3,Verified,car,36 months,w,3 years,ANY,INDIVIDUAL,1782.00,200966.06,0.1230,1,1,10,1,7979.27,2.8065,32,4,0,Dec-2014,Aug-2011,57.20,17.2795,605,609,50.64,Jan-2016,23.96,IL,190xx
Fully Paid,A,A3,Source Verified,home_improvement,36 months,w,8 years,ANY,INDIVIDUAL,38544.00,206051.66,0.2012,0,2,2,1,18284.41,53.4558,10,3,0,Oct-2019,Jun-2018,1296.09,23.3934,597,601,1233.97,Jan-2021,4116.88,NY,480xx
Current,A,A1,Verified,credit_card,36 months,f,9 years,RENT,JOINT,14124.00,128529.98,0.1371,1,2,20,1,4317.05,18.0985,31,4,0,Feb-2018,Dec-2009,453.93,17.4454,590,594,443.17,Jan-2019,580.43,NC,560xx
Current,C,C2,Not Verified,medical,36 months,f,7 years,MORTGAGE,INDIVIDUAL,3497.00,100875.24,0.1870,2,0,4,0,2775.66,54.8821,21,2,0,Jan-2021,Apr-1997,109.57,14.2206,791,795,109.82,Jun-2021,12.06,NY,922xx
Fully Paid,D,D4,Not Verified,debt_consolidation,36 months,w,10+ years,RENT,INDIVIDUAL,6063.00,130930.41,0.1408,1,4,14,0,8056.22,63.1458,33,3,0,Jan-2022,Oct-2000,207.32,25.6673,822,826,213.54,Oct-2022,787.83,FL,147xx
Fully Paid,F,F5,Not Verified,vacation,60 months,f,6 years,ANY,INDIVIDUAL,3350.00,38905.91,0.2970,1,2,9,0,13965.51,68.7725,25,4,1,Jan-2018,Apr-2014,73.97,18.0416,690,694,85.20,Dec-2018,305.74,GA,741xx
Current,D,D1,Source Verified,home_improvement,60 months,w,8 years,OWN,INDIVIDUAL,4009.00,30664.15,0.1225,1,1,10,2,4199.51,72.8753,25,3,0,Jun-2014,May-2012,88.19,17.7719,805,809,83.67,Jul-2014,181.81,NC,387xx
Current,B,B4,Source Verified,house,60 months,w,7 years,OWN,JOINT,17482.00,88689.75,0.2431,1,2,11,0,19964.30,57.7560,14,2,0,Mar-2014,Jan-1990,329.03,7.1820,665,669,322.16,Jan-2015,422.64,AZ,308xx
Fully Paid,D,D5,Verified,house,60 months,f,2 years,RENT,INDIVIDUAL,6188.00,235669.64,0.3348,1,1,1,0,22366.89,60.0367,26,4,0,Nov-2019,Jun-1990,121.91,10.1170,608,612,106.81,May-2020,1.08,IL,532xx
Fully Paid,E,E2,Not Verified,medical,36 months,f,4 years,RENT,INDIVIDUAL,23316.00,128390.38,0.1789,1,0,13,0,13772.29,53.0601,24,5,0,Nov-2016,Aug-2002,765.73,20.2545,689,693,743.71,Dec-2017,1844.38,AZ,534xx
Fully Paid,E,E5,Not Verified,vacation,36 months,w,10+ years,RENT,INDIVIDUAL,16481.00,219559.70,0.1049,0,3,6,0,1215.89,43.9586,12,1,0,Jan-2018,Mar-2000,493.40,8.6400,808,812,507.06,Feb-2018,530.94,NY,724xx
Fully Paid,A,A4,Verified,vacation,36 months,f,< 1 year,ANY,INDIVIDUAL,29661.00,46142.04,0.2004,2,0,16,1,46233.83,49.6641,17,2,0,Oct-2020,Feb-1998,935.88,15.0991,622,626,953.71,Dec-2020,1015.90,NY,593xx
Current,B,B1,Not Verified,vacation,36 months,w,2 years,RENT,JOINT,9921.00,18364.51,0.1751,0,1,23,1,4942.67,35.7979,31,2,0,Dec-2020,Dec-1999,317.75,16.9993,818,822,335.28,May-2021,119.01,NC,278xx
Current,B,B1,Not Verified,debt_consolidation,60 months,f,1 year,MORTGAGE,JOINT,4010.00,158181.15,0.1749,0,1,13,1,19173.04,64.5961,35,1,0,Nov-2020,Feb-1997,98.68,26.4713,751,755,95.06,Nov-2021,228.54,NJ,743xx
Fully Paid,C,C5,Not Verified,car,36 months,w,4 years,RENT,INDIVIDUAL,23926.00,27138.95,0.1952,0,2,17,1,2093.61,42.9696,27,5,0,Sep-2014,Dec-2012,805.32,23.5248,729,733,834.62,May-2015,3372.15,IL,128xx
Current,C,C2,Source Verified,credit_card,60 months,w,5 years,MORTGAGE,INDIVIDUAL,18560.00,207193.03,0.1901,1,4,4,1,13146.09,57.1287,6,1,0,Oct-2021,Feb-2019,451.80,25.5865,668,672,444.29,May-2022,645.91,GA,265xx
Current,D,D3,Not Verified,debt_consolidation,60 months,w,6 years,ANY,JOINT,4333.00,184629.95,0.1089,0,3,6,0,4718.42,43.5173,14,1,0,Jun-2018,Jun-2013,106.96,26.7274,807,811,90.17,Jul-2018,508.08,CA,957xx
Current,F,F1,Not Verified,debt_consolidation,36 months,w,5 years,RENT,JOINT,34697.00,31226.93,0.0140,2,0,16,2,31623.18,82.2063,22,4,0,Jul-2020,Jan-1998,1067.10,11.9077,724,728,1083.46,Nov-2020,609.48,IL,655xx
Fully Paid,B,B2,Not Verified,vacation,36 months,w,3 years,MORTGAGE,INDIVIDUAL,8477.00,219347.29,0.1285,0,1,5,0,11414.53,65.1159,15,4,0,Dec-2020,May-2017,276.38,19.3016,746,750,246.40,Mar-2022,248.68,CA,706xx
Current,B,B3,Verified,renewable_energy,36 months,w,10+ years,RENT,INDIVIDUAL,37325.00,201329.47,0.1315,1,2,1,0,10298.75,29.4071,29,2,0,Oct-2022,May-1998,1261.43,24.0727,638,642,1253.92,Nov-2023,4148.80,IL,383xx
Fully Paid,A,A5,Verified,wedding,60 months,f,2 years,RENT,JOINT,14276.00,57059.50,0.3023,2,3,12,1,8414.53,49.5886,21,1,0,Jun-2019,Oct-1995,319.78,19.1111,715,719,308.72,Jun-2020,920.13,FL,551xx
Current,B,B2,Source Verified,small_business,36 months,f,6 years,MORTGAGE,INDIVIDUAL,15454.00,54602.23,0.2497,0,0,8,0,34440.38,48.1352,14,3,0,Apr-2018,Dec-1996,528.53,25.6897,714,718,510.52,Mar-2019,1263.28,AZ,286xx
Current,D,D5,Verified,home_improvement,60 months,w,10+ years,OWN,JOINT,3592.00,111930.71,0.1086,0,1,6,0,1550.57,49.6296,25,7,0,Apr-2019,May-2009,68.05,7.5935,803,807,89.01,Aug-2019,39.49,NJ,356xx
Current,D,D3,Not Verified,other,36 months,w,1 year,RENT,JOINT,21491.00,131721.22,0.0717,2,0,16,1,20483.47,68.7258,20,3,0,Sep-2017,Aug-2005,737.52,26.1602,585,589,758.85,Jan-2019,1137.10,CA,842xx
Fully Paid,B,B5,Not Verified,debt_consolidation,36 months,w,2 years,MORTGAGE,INDIVIDUAL,18545.00,232738.73,0.2059,0,2,2,1,26148.38,57.8593,18,2,0,Mar-2018,Jul-1994,599.57,18.2112,785,789,594.38,Nov-2018,1025.22,NC,437xx
Current,B,B3,Not Verified,vacation,36 months,w,10+ years,OWN,JOINT,11547.00,74535.40,0.0961,0,0,19,1,16753.12,68.3880,38,3,0,May-2015,May-1990,389.21,23.7164,663,667,388.47,Apr-2016,198.05,NY,179xx
Fully Paid,C,C2,Verified,major_purchase,60 months,w,10+ years,MORTGAGE,INDIVIDUAL,34956.00,133441.34,0.2413,1,1,17,0,7456.36,65.0443,42,6,0,Feb-2016,Nov-1986,682.09,9.4869,773,777,676.24,Jul-2017,1738.31,AZ,809xx
Current,C,C3,Not Verified,house,36 months,w,< 1 year,MORTGAGE,JOINT,34946.00,74878.81,0.1073,1,4,1,1,9492.16,66.7694,24,1,0,Aug-2017,Jan-2005,1210.17,27.4077,808,812,1230.76,Mar-2018,4363.59,AZ,910xx
Current,D,D1,Verified,small_business,36 months,f,7 years,RENT,JOINT,12819.00,145204.81,0.2219,1,2,9,1,1085.25,27.2644,22,4,0,Nov-2018,Aug-1999,389.37,10.3869,600,604,387.44,Oct-2019,161.58,TX,829xx
Fully Paid,A,A2,Not Verified,major_purchase,36 months,f,7 years,RENT,INDIVIDUAL,2244.00,39337.10,0.2282,0,4,8,1,526.72,50.5472,23,2,2,Aug-2018,May-1990,76.19,24.7018,684,688,71.36,Dec-2018,19.92,FL,218xx
Current,A,A1,Verified,other,60 months,w,10+ years,MORTGAGE,INDIVIDUAL,16748.00,200543.25,0.0429,0,2,6,0,8364.77,70.1395,29,0,0,Sep-2021,Feb-1993,373.09,18.6997,684,688,395.85,Jan-2022,146.90,TX,638xx
Current,E,E1,Source Verified,house,36 months,f,5 years,OWN,INDIVIDUAL,7313.00,40872.36,0.2096,1,1,19,0,759.82,41.7955,27,1,0,Jul-2019,Apr-2016,231.98,15.7726,807,811,245.04,Apr-2020,533.27,WA,949xx
Current,D,D4,Not Verified,other,36 months,w,8 years,MORTGAGE,INDIVIDUAL,35499.00,73124.62,0.1769,1,3,7,0,4770.35,62.6784,9,2,0,Aug-2022,Aug-2010,1083.05,10.9265,785,789,1108.70,Nov-2023,2074.75,CA,554xx
Charged Off,B,B5,Source Verified,car,36 months,w,2 years,RENT,INDIVIDUAL,36791.00,228444.32,0.2747,1,3,22,1,385.67,51.7380,42,2,2,Mar-2020,Dec-1989,1204.21,19.8134,587,591,1152.49,Aug-2020,239.45,IL,431xx
Fully Paid,E,E4,Source Verified,home_improvement,60 months,f,4 years,ANY,INDIVIDUAL,21939.00,228480.69,0.2857,0,0,12,1,18219.38,76.7672,32,4,0,Jan-2019,Jan-1995,524.33,24.1093,790,794,516.20,Jul-2019,591.69,GA,763xx
Fully Paid,D,D4,Source Verified,renewable_energy,36 months,w,2 years,RENT,INDIVIDUAL,23876.00,182753.81,0.3134,2,2,11,0,12512.94,37.4360,36,4,0,Apr-2021,Dec-2001,761.90,16.5325,641,645,764.57,Jul-2021,1962.90,NC,658xx
Fully Paid,A,A2,Verified,debt_consolidation,36 months,w,< 1 year,MORTGAGE,INDIVIDUAL,33146.00,201795.02,0.2708,0,2,7,2,1662.19,12.0015,14,4,0,Sep-2016,Jul-2004,1013.38,11.1817,682,686,964.22,Jan-2018,539.99,CA,996xx
Fully Paid,A,A2,Not Verified,home_improvement,36 months,f,6 years,RENT,JOINT,1440.00,141809.15,0.2185,1,1,1,1,16623.74,53.5156,11,2,0,Jan-2019,Oct-1989,49.86,27.4001,678,682,41.82,Apr-2019,113.93,NC,889xx
Fully Paid,C,C2,Not Verified,credit_card,36 months,f,2 years,RENT,INDIVIDUAL,26809.00,231097.74,0.2274,0,3,12,1,13632.62,0.0000,24,4,0,Nov-2019,Sep-1991,905.65,24.0146,740,744,930.84,Nov-2020,2714.69,TX,140xx
Current,D,D4,Verified,medical,60 months,f,10+ years,OWN,INDIVIDUAL,9042.00,95815.92,0.2134,0,2,9,0,18962.99,26.2837,20,1,0,Jul-2014,May-1997,223.78,26.9426,689,693,222.77,Oct-2015,140.17,IL,928xx
In Grace Period,B,B4,Not Verified,renewable_energy,36 months,w,1 year,ANY,JOINT,21110.00,230976.46,0.3571,1,1,9,0,4584.49,47.1397,15,1,0,May-2019,Mar-1989,670.50,15.9377,580,584,669.23,Sep-2020,469.85,NC,423xx
Current,A,A1,Verified,wedding,36 months,w,6 years,OWN,INDIVIDUAL,11172.00,220447.10,0.3742,0,0,1,2,26341.49,35.0023,27,1,0,Apr-2019,Jun-1988,385.74,26.9996,723,727,380.06,May-2020,1534.10,AZ,312xx
Fully Paid,A,A2,Verified,car,36 months,f,5 years,OWN,INDIVIDUAL,25897.00,171544.40,0.1406,2,3,7,0,46184.90,64.4043,31,3,0,Jun-2018,Jun-2014,767.52,7.4388,766,770,751.18,Oct-2018,626.51,NJ,611xx
Current,B,B4,Not Verified,moving,60 months,f,6 years,ANY,JOINT,32764.00,19459.77,0.2577,0,4,13,0,26328.63,19.2775,19,1,0,May-2019,Apr-1997,632.04,8.7466,707,711,616.42,Mar-2020,1556.03,IL,857xx
Fully Paid,C,C2,Source Verified,major_purchase,36 months,f,4 years,MORTGAGE,INDIVIDUAL,27733.00,20879.28,0.2223,1,6,14,1,37976.08,60.9575,36,3,0,Nov-2014,Feb-2009,859.96,12.9230,654,658,837.86,Dec-2015,1633.74,FL,156xx
Fully Paid,C,C5,Verified,renewable_energy,60 months,f,4 years,ANY,JOINT,35622.00,152133.24,0.2497,4,3,12,1,19639.86,45.4849,35,5,0,Jan-2016,Jul-2002,772.46,16.7275,748,752,758.92,Sep-2016,1487.88,NY,723xx
Current,B,B4,Verified,credit_card,36 months,f,5 years,OWN,JOINT,36715.00,141761.65,0.2808,1,1,9,0,8092.24,55.0958,11,1,0,Sep-2022,Jan-1993,1230.83,22.9849,701,705,1191.41,Sep-2022,3078.13,NY,378xx
Current,E,E3,Verified,renewable_energy,36 months,f,1 year,MORTGAGE,INDIVIDUAL,36016.00,230856.91,0.0915,4,1,1,0,12755.78,19.0387,17,4,0,Nov-2015,Mar-2002,1189.48,20.9945,658,662,1174.20,Aug-2016,3587.88,NJ,754xx
Current,C,C3,Source Verified,car,60 months,f,2 years,OWN,INDIVIDUAL,8997.00,71281.11,0.2810,1,1,3,0,3608.36,23.0375,5,1,0,May-2021,May-1994,176.55,9.8561,685,689,175.26,Sep-2021,224.43,AZ,492xx
Current,A,A1,Source Verified,home_improvement,36 months,w,1 year,MORTGAGE,INDIVIDUAL,19913.00,201847.34,0.1075,2,1,12,1,12633.78,39.9702,13,2,0,May-2016,Sep-2009,594.98,8.4042,775,779,570.59,Aug-2016,59.37,NJ,146xx
Current,E,E1,Not Verified,vacation,60 months,w,2 years,OWN,JOINT,17123.00,24482.09,0.2261,1,0,21,1,57.10,78.4664,48,8,0,May-2015,May-1998,378.48,18.1231,718,722,366.91,Oct-2016,1776.33,IL,614xx
Fully Paid,B,B2,Not Verified,renewable_energy,36 months,w,1 year,OWN,JOINT,8943.00,198432.28,0.2451,0,2,16,0,27817.25,64.9648,18,2,0,Sep-2019,Feb-2000,286.57,17.0660,652,656,312.38,Dec-2019,767.32,AZ,530xx
Current,E,E1,Source Verified,renewable_energy,60 months,f,4 years,MORTGAGE,INDIVIDUAL,3580.00,200408.91,0.1173,1,1,5,0,11362.02,46.4309,15,3,0,Mar-2022,Apr-2001,70.84,10.4068,741,745,95.79,Aug-2023,43.38,GA,104xx
Fully Paid,C,C4,Verified,small_business,36 months,w,9 years,ANY,INDIVIDUAL,3787.00,60602.84,0.1193,0,1,1,0,20344.78,46.1709,4,2,0,Apr-2017,Sep-2013,114.68,10.0143,690,694,91.08,Jan-2018,53.84,WA,852xx
Current,C,C5,Source Verified,major_purchase,60 months,f,4 years,RENT,JOINT,23529.00,146935.63,0.2255,1,1,4,0,7580.02,50.0367,12,4,0,Apr-2021,Jun-2001,441.85,7.0408,623,627,465.00,Jun-2021,929.45,CA,961xx
Fully Paid,C,C2,Not Verified,debt_consolidation,36 months,f,10+ years,OWN,INDIVIDUAL,11778.00,86946.19,0.1568,1,3,13,1,39479.12,38.0237,15,1,0,Aug-2015,Sep-1999,403.64,25.9731,779,783,421.01,Nov-2015,1455.22,TX,550xx
Current,C,C4,Verified,wedding,36 months,w,3 years,RENT,JOINT,21267.00,42700.89,0.2639,1,4,1,0,1732.70,36.3374,23,3,0,Oct-2020,Nov-2007,681.63,17.0938,816,820,687.72,Feb-2022,1549.68,NY,538xx
Fully Paid,C,C5,Verified,moving,36 months,f,6 years,ANY,JOINT,18537.00,155911.95,0.1601,2,2,6,1,2053.23,44.0468,23,1,0,Mar-2015,Jan-1991,552.15,8.0344,634,638,529.20,Apr-2016,839.15,NY,250xx
Fully Paid,A,A2,Verified,small_business,36 months,w,8 years,OWN,INDIVIDUAL,27201.00,52885.13,0.0647,2,1,9,0,4944.33,73.7221,18,0,0,Jun-2020,Nov-1994,839.53,12.3449,662,666,866.39,Jul-2021,1603.10,CA,439xx
Late (31-120 days),A,A5,Source Verified,other,60 months,w,10+ years,OWN,JOINT,17720.00,166411.76,0.1660,0,1,6,0,11165.83,48.6120,19,2,2,Oct-2018,Oct-2005,363.76,12.8715,766,770,374.60,Jan-2019,375.59,NC,552xx
Fully Paid,A,A4,Source Verified,small_business,36 months,w,3 years,OWN,INDIVIDUAL,17096.00,81075.35,0.1759,0,1,12,0,26406.23,26.0974,21,3,0,Dec-2018,Jan-2006,551.59,17.9466,639,643,572.20,Jul-2019,647.55,NY,710xx
Current,C,C3,Not Verified,other,36 months,f,5 years,OWN,INDIVIDUAL,32737.00,20902.07,0.1352,1,3,15,0,19290.81,25.9567,38,1,1,Feb-2015,Apr-2013,1016.03,13.0329,825,829,1014.29,Mar-2016,1951.93,NC,613xx
Current,D,D1,Source Verified,small_business,36 months,w,10+ years,OWN,JOINT,19505.00,218882.51,0.1238,0,2,7,1,31006.36,70.4597,11,3,0,Apr-2021,Mar-2010,580.89,8.0145,702,706,588.49,May-2021,403.94,NJ,204xx
Fully Paid,G,G5,Not Verified,debt_consolidation,36 months,w,7 years,RENT,JOINT,16722.00,159047.88,0.3638,0,3,6,0,13292.19,62.2467,31,4,0,Jun-2017,Oct-1991,507.68,10.3300,693,697,516.12,Dec-2017,639.30,NC,734xx
Current,B,B2,Source Verified,credit_card,36 months,w,6 years,ANY,JOINT,27378.00,111903.74,0.2808,1,1,18,1,16081.46,63.6220,23,4,0,Aug-2022,Sep-2011,853.09,13.5282,705,709,856.21,Mar-2023,425.99,CA,859xx
Current,A,A2,Not Verified,small_business,36 months,f,1 year,ANY,INDIVIDUAL,27276.00,43270.26,0.1822,1,2,9,0,12896.14,58.0494,20,5,1,Mar-2017,Jan-2007,875.17,17.2320,775,779,884.61,Dec-2017,2189.01,NJ,933xx
Fully Paid,C,C4,Source Verified,major_purchase,60 months,w,< 1 year,OWN,INDIVIDUAL,6663.00,198662.23,0.1222,2,2,3,0,2775.72,61.7563,9,2,0,Dec-2020,Dec-1992,136.25,12.6094,672,676,142.54,Mar-2022,217.45,NJ,474xx
Fully Paid,C,C1,Verified,moving,36 months,w,4 years,MORTGAGE,INDIVIDUAL,2081.00,199417.62,0.0502,1,3,18,0,18504.38,29.3890,27,5,0,Dec-2021,Dec-2014,68.14,19.8661,644,648,60.86,Nov-2022,42.62,CA,628xx
Current,D,D3,Verified,debt_consolidation,60 months,f,2 years,RENT,JOINT,5032.00,147180.96,0.0627,1,4,13,0,17401.39,53.5654,40,3,2,Nov-2014,Sep-2006,118.46,22.9158,777,781,114.20,Mar-2015,526.81,NC,402xx
Current,E,E1,Source Verified,debt_consolidation,36 months,f,3 years,ANY,INDIVIDUAL,1525.00,41610.63,0.3155,0,3,10,1,10276.96,47.3720,10,6,0,Apr-2022,Mar-1997,52.81,27.4095,815,819,41.00,Jan-2023,238.66,GA,422xx
Fully Paid,B,B5,Verified,car,60 months,w,7 years,RENT,INDIVIDUAL,22509.00,132861.15,0.1629,1,1,5,0,15562.78,59.1467,11,2,0,Dec-2018,Aug-2007,548.09,25.6101,694,698,510.92,Mar-2020,3149.61,WA,989xx
Current,B,B2,Verified,moving,60 months,w,1 year,RENT,INDIVIDUAL,20957.00,123607.76,0.2349,2,2,3,0,4296.81,38.3560,19,2,0,Oct-2017,Oct-2006,485.71,21.6990,642,646,463.99,Nov-2017,1464.65,TX,981xx
Current,B,B1,Verified,small_business,36 months,w,1 year,RENT,INDIVIDUAL,20505.00,180635.61,0.2422,1,2,12,1,8252.29,37.4641,23,1,0,Jan-2021,Dec-1993,689.66,23.4237,653,657,680.64,Mar-2022,1141.00,FL,105xx
Current,A,A4,Verified,credit_card,36 months,f,2 years,MORTGAGE,JOINT,32571.00,181594.90,0.0073,1,0,19,1,3607.62,32.0412,43,3,0,Mar-2020,Feb-1998,1063.86,19.5406,653,657,1070.80,Jun-2021,2246.52,IL,303xx
Current,D,D3,Source Verified,house,60 months,w,3 years,ANY,INDIVIDUAL,7234.00,122672.77,0.2596,1,1,12,1,11176.11,76.6342,28,4,0,Oct-2019,Jun-2009,132.88,5.6760,742,746,104.32,Jan-2021,30.21,NC,334xx
Fully Paid,B,B1,Verified,renewable_energy,36 months,w,2 years,MORTGAGE,INDIVIDUAL,22565.00,222184.30,0.2999,1,3,23,1,1018.37,38.1987,48,0,0,Nov-2018,Aug-1995,681.10,9.6242,783,787,688.07,Feb-2019,403.30,NY,621xx
Late (31-120 days),B,B2,Verified,small_business,60 months,w,1 year,ANY,JOINT,17870.00,50796.04,0.3529,1,2,1,0,14557.66,56.3095,22,3,1,Sep-2020,May-1999,422.82,23.3140,807,811,408.12,Jun-2021,1529.01,TX,774xx
Fully Paid,F,F1,Source Verified,vacation,36 months,w,9 years,ANY,JOINT,1064.00,119509.35,0.2073,0,1,5,0,436.26,64.2055,21,1,0,Jun-2021,Feb-2017,33.60,15.2201,804,808,17.92,Nov-2022,90.17,FL,743xx
Current,E,E1,Verified,renewable_energy,36 months,w,3 years,RENT,INDIVIDUAL,37192.00,126765.46,0.2324,1,1,12,1,32551.45,61.9811,21,5,0,Jun-2019,Mar-2005,1205.13,18.5003,671,675,1222.67,Mar-2020,2905.84,IL,137xx
Current,A,A3,Not Verified,major_purchase,36 months,f,2 years,OWN,INDIVIDUAL,22316.00,183259.65,0.1198,1,2,11,0,37978.48,56.5483,32,5,0,Nov-2018,Dec-1994,755.91,24.3811,744,748,755.00,Feb-2020,1058.38,NJ,613xx
Fully Paid,B,B2,Verified,medical,36 months,f,8 years,ANY,INDIVIDUAL,7262.00,128009.47,0.2035,2,4,15,1,22167.52,75.0765,39,4,0,Jan-2018,Nov-1999,232.29,16.8371,816,820,248.70,Jun-2018,226.20,NY,186xx
Fully Paid,C,C1,Source Verified,car,36 months,f,4 years,MORTGAGE,JOINT,5822.00,196834.25,0.1909,0,4,9,1,4842.11,58.5370,35,2,0,Jun-2014,Mar-1992,192.26,20.9823,781,785,160.01,Oct-2014,373.52,IL,403xx
